,Longitude,Latitude,time_taxi,time_bus,cost_taxi,cost_bus
0,116.250477,39.858049,91.2,77.51666666666667,222,39.0
1,116.479124,40.022752,115.13333333333334,110.91666666666667,296,43.0
2,116.42177,39.787453,77.43333333333334,95.7,174,39.0
3,116.352454,39.884982,92.66666666666667,68.01666666666667,205,37.0
4,116.46239,39.922632,94.91666666666667,74.03333333333333,248,40.0
5,116.413966,39.756405,71.46666666666667,146.23333333333332,162,[]
6,116.287025,39.816953,89.81666666666666,78.8,189,41.0
7,116.353239,39.825497,89.96666666666667,58.95,190,37.0
8,116.466048,39.754091,76.96666666666667,145.96666666666667,176,9.0
9,116.369245,39.850876,91.91666666666667,59.833333333333336,199,37.0
10,116.331035,39.808046,89.6,95.13333333333334,181,37.0
11,116.291421,39.930054,94.45,75.65,234,40.0
12,116.352846,39.789415,78.38333333333334,69.18333333333334,174,40.0
13,116.548476,40.004493,115.26666666666667,148.46666666666667,307,43.0
14,116.266593,39.958789,97.8,107.21666666666667,251,42.0
15,116.257099,39.995289,108.23333333333333,115.16666666666667,270,43.0
16,116.211957,39.870491,90.0,125.98333333333333,228,41.0
17,116.277484,39.914355,93.38333333333334,93.65,235,42.0
18,116.439772,39.975224,109.15,92.7,270,40.0
19,116.551809,39.939013,94.91666666666667,116.81666666666666,260,42.0
20,116.536874,39.992934,109.98333333333333,157.56666666666666,282,43.0
21,116.341522,39.788393,77.93333333333334,72.21666666666667,169,39.0
22,116.322525,39.797239,83.9,72.78333333333333,180,40.0
23,116.298897,40.00001,111.41666666666667,94.4,257,40.0
24,116.554371,39.997399,115.26666666666667,157.91666666666666,305,44.0
25,116.368457,39.862945,93.6,86.13333333333334,203,37.0
26,116.344556,39.749165,76.95,86.91666666666667,162,40.0
27,116.301564,39.961058,99.36666666666666,117.06666666666666,242,42.0
28,116.433579,39.770286,77.5,87.73333333333333,176,40.0
29,116.297232,39.791968,89.48333333333333,90.28333333333333,182,41.0
30,116.402104,39.796368,87.0,96.16666666666667,185,39.0
31,116.385036,39.790231,88.11666666666666,80.18333333333334,181,40.0
32,116.245678,39.94132,101.05,97.33333333333333,248,42.0
33,116.469819,39.907356,93.1,85.46666666666667,242,42.0
34,116.488642,39.946777,95.11666666666666,103.13333333333334,251,42.0
35,116.185542,39.918306,101.33333333333333,99.25,257,43.0
36,116.377846,39.997229,111.4,90.15,259,42.0
37,116.517099,39.799347,88.91666666666667,89.08333333333333,202,42.0
38,116.513646,39.819344,88.46666666666667,112.35,209,41.0
39,116.305484,39.940486,94.78333333333333,87.51666666666667,234,42.0
40,116.189823,39.968895,118.95,133.85,300,43.0
41,116.210248,39.737837,74.46666666666667,113.25,191,42.0
42,116.544321,40.014698,113.2,139.93333333333334,307,43.0
43,116.323298,39.854218,92.6,75.83333333333333,205,37.0
44,116.519187,39.859942,92.16666666666667,102.9,224,41.0
45,116.325856,39.898075,94.68333333333334,78.05,217,39.0
46,116.247067,39.923705,110.1,90.66666666666667,244,40.0
47,116.406721,39.920524,117.08333333333333,73.5,238,40.0
48,116.272252,39.950652,94.75,98.73333333333333,246,42.0
49,116.309175,40.004063,114.51666666666667,84.98333333333333,260,40.0
50,116.478879,39.752943,77.86666666666666,146.38333333333333,180,10.0
51,116.439035,39.919788,107.6,82.38333333333334,239,40.0
52,116.426344,40.003247,111.65,87.83333333333333,271,40.0
53,116.223313,39.887539,91.3,102.1,241,42.0
54,116.469124,39.844083,89.75,103.48333333333333,209,40.0
55,116.220567,39.92784,93.96666666666667,97.01666666666667,256,40.0
56,116.54534,39.749845,78.28333333333333,102.13333333333334,189,43.0
57,116.3077,39.953264,95.4,89.1,237,40.0
58,116.508774,39.834261,88.75,115.68333333333334,210,42.0
59,116.536383,39.846052,88.76666666666667,104.38333333333334,218,42.0
60,116.275282,39.743019,76.1,140.33333333333334,169,[]
61,116.231706,40.025773,120.85,141.9,293,47.0
62,116.272225,39.914069,92.85,84.28333333333333,233,42.0
63,116.314399,39.929748,96.3,80.3,234,41.0
64,116.375485,39.895199,93.91666666666667,59.766666666666666,217,40.0
65,116.539071,39.889917,91.55,125.55,241,42.0
66,116.45673,39.911572,93.68333333333334,89.65,244,42.0
67,116.30815,39.809389,87.66666666666667,82.76666666666667,185,41.0
68,116.502382,39.96502,94.0,103.63333333333334,260,43.0
69,116.466084,40.001728,109.45,104.18333333333334,278,41.0
70,116.506416,39.771814,86.2,101.63333333333334,189,42.0
71,116.289193,39.914796,93.93333333333334,91.6,228,41.0
72,116.498759,40.025871,112.3,110.56666666666666,299,41.0
73,116.229461,39.964689,93.25,124.51666666666667,270,42.0
74,116.22279,39.883989,92.9,102.61666666666666,245,42.0
75,116.20911,39.978255,109.35,116.48333333333333,274,44.0
76,116.4496,39.964966,98.61666666666666,104.68333333333334,266,42.0
77,116.195251,39.842912,91.75,126.78333333333333,231,42.0
78,116.391996,39.978354,109.16666666666667,73.48333333333333,249,42.0
79,116.274897,39.732126,73.3,111.53333333333333,165,29.0
80,116.507596,39.85054,92.36666666666666,106.4,219,40.0
81,116.435369,39.737606,70.53333333333333,81.58333333333333,166,27.0
82,116.532624,39.999935,110.63333333333334,141.06666666666666,286,43.0
83,116.219083,39.894177,92.91666666666667,103.43333333333334,244,42.0
84,116.515266,39.99512,94.06666666666666,135.61666666666667,276,43.0
85,116.251092,39.768158,72.3,98.3,192,41.0
86,116.284687,39.867294,93.88333333333334,69.66666666666667,212,39.0
87,116.438578,39.780023,77.4,96.35,181,41.0
88,116.454693,39.971809,95.6,97.65,266,40.0
89,116.467043,39.942762,94.31666666666666,94.0,258,42.0
90,116.420946,39.921162,114.91666666666667,76.48333333333333,226,40.0
91,116.45565,39.837997,87.63333333333334,75.28333333333333,205,39.0
92,116.355467,39.832026,89.86666666666666,65.08333333333333,189,37.0
93,116.33839,39.996652,112.43333333333334,81.35,252,40.0
94,116.504731,39.882201,93.36666666666666,84.66666666666667,241,40.0
95,116.445243,39.759413,77.41666666666667,82.35,178,40.0
96,116.218084,39.972427,94.18333333333334,118.75,266,43.0
97,116.481806,39.813219,80.0,98.43333333333334,193,41.0
98,116.327319,39.865851,93.11666666666666,64.03333333333333,204,38.0
99,116.391536,40.016153,120.25,91.91666666666667,275,40.0
