E_FID,E_name,length,highway,u,v,maxspeed,R_FID
0,,5646.540039,,,,100,336
1,,1328.410034,,,,40,4282
2,,1138.650024,,,,100,714
3,,2207.709961,,,,100,4692
4,,1107.349976,,,,100,687
5,,1202.290039,,,,60,336
6,,4651.959961,,,,60,1187
7,,1503.099976,,,,60,2482
8,,1369.300049,,,,60,2482
9,,1133.680054,,,,60,4282
10,,3159.090088,,,,100,3811
11,,1297.709961,,,,60,2790
12,,1694.680054,,,,60,4422
13,,2778.800049,,,,100,3236
14,,1293.819946,,,,60,4837
15,,2358.870117,,,,60,4685
16,,1341.550049,,,,60,347
17,,2628.52002,,,,60,3943
18,,1459.449951,,,,60,2165
19,,1122.910034,,,,60,2493
20,,1540.469971,,,,60,2493
21,,2880.840088,,,,60,3291
22,,1835.650024,,,,60,4837
23,,2476.27002,,,,60,2468
24,,3529.77002,,,,60,3302
25,,1750.160034,,,,60,1541
26,,2334.320068,,,,100,2125
27,,1826.75,,,,60,4234
28,,1717.609985,,,,60,18
29,,1067.069946,,,,60,3276
30,,1729.369995,,,,60,3276
31,,2519.969971,,,,60,3276
32,,1955.339966,,,,100,545
33,,1360.01001,,,,60,2475
34,,1644.189941,,,,60,2475
35,,1682.949951,,,,60,4837
36,,1522.109985,,,,60,325
37,,1415.73999,,,,80,4612
38,,3859.030029,,,,60,337
39,,719.2470093,,,,60,732
40,,1215.180054,,,,60,325
41,,3479.560059,,,,60,338
42,,1108.130005,,,,60,3304
43,,1789.170044,,,,60,4450
44,,2669.580078,,,,100,2765
45,,2510.449951,,,,60,3910
46,,2808.969971,,,,100,3127
47,,1566.22998,,,,60,2965
48,,2061.219971,,,,60,3121
49,,615.3699951,,,,60,4451
50,,1814.300049,,,,60,732
51,,2906.300049,,,,60,3304
52,,1496.349976,,,,60,3304
53,,1230.660034,,,,60,325
54,,2151.52002,,,,60,3923
55,,2135.219971,,,,60,4234
56,,1505.51001,,,,60,2133
57,,604.0780029,,,,60,4439
58,,1885.540039,,,,60,4450
59,,882.8200073,,,,40,4439
60,,481.1260071,,,,60,4439
61,,333.8760071,,,,60,1181
62,,246.3580017,,,,60,1181
63,,661.8740234,,,,60,4439
64,,1856.73999,,,,60,3285
65,,1109.969971,,,,60,4451
66,,1769.609985,,,,60,49
67,,354.25,,,,60,2483
68,,424.0509949,,,,60,2483
69,,365.9639893,,,,60,2483
70,,355.5679932,,,,60,3640
71,,1205.660034,,,,60,3640
72,,638.8330078,,,,60,3295
73,,1275.180054,,,,60,3295
74,,2946.98999,,,,60,744
75,,1092.819946,,,,60,2179
76,,1840.47998,,,,60,1531
77,,1886.369995,,,,60,3621
78,,2575.439941,,,,60,4430
79,,2177.570068,,,,60,1165
80,,524.4710083,,,,60,3634
81,,2359.969971,,,,60,3923
82,,2162.399902,,,,60,1814
83,,1888.109985,,,,60,1814
84,,1887.109985,,,,60,2495
85,,651.4799805,,,,40,3634
86,,2629.840088,,,,60,3919
87,,1350.5,,,,60,3919
88,,2428.040039,,,,60,319
89,,393.3659973,,,,60,2495
90,,3303.26001,,,,60,4693
91,,3117.639893,,,,100,4693
92,,4040.570068,,,,60,4693
93,,3614.629883,,,,100,1793
94,,2125.570068,,,,60,2771
95,,3957.169922,,,,100,4225
96,,574.2119751,,,,60,3634
97,,943.6699829,,,,60,3634
98,,2095.330078,,,,60,3292
99,,1335.930054,,,,60,1159
100,,2247.5,,,,40,1165
101,,923.539978,,,,60,1165
102,,1497,,,,60,3648
103,,538.4299927,,,,60,3648
104,,1569.170044,,,,60,3628
105,,1568.089966,,,,60,1501
106,,1392.550049,,,,60,3292
107,,3274.73999,,,,60,4454
108,,1294.079956,,,,80,4455
109,,1441.48999,,,,40,3270
110,,778.9229736,,,,60,2496
111,,1841.76001,,,,60,4283
112,,661.302002,,,,60,2496
113,,1400.219971,,,,60,1815
114,,1572.98999,,,,60,1815
115,,1115.400024,,,,80,1165
116,,1428.48999,,,,60,5
117,,1394.380005,,,,60,1189
118,,1612.160034,,,,60,2190
119,,4233.279785,,,,60,56
120,,1258.859985,,,,60,695
121,,1836.060059,,,,60,1175
122,,1373.810059,,,,80,1189
123,,986.4569702,,,,60,2503
124,,1112.609985,,,,40,1501
125,,781.8930054,,,,60,4284
126,,1109.810059,,,,60,2496
127,,894.1350098,,,,60,4284
128,,3436.97998,,,,100,1707
129,,1255.76001,,,,40,1160
130,,1613.290039,,,,60,1160
131,,2212.659912,,,,60,1809
132,,1384.900024,,,,60,1488
133,,1731.829956,,,,100,2142
134,,1886.589966,,,,100,677
135,,3783.01001,,,,100,1047
136,,3573.959961,,,,100,2798
137,,2403.800049,,,,100,1207
138,,920.5759888,,,,60,4439
139,,1892.589966,,,,60,2179
140,,508.5820007,,,,60,1181
141,,412.3940125,,,,60,2483
142,,201.7720032,,,,60,1181
143,,382.7120056,,,,40,4439
144,,244.5220032,,,,60,2483
145,,487.2869873,,,,60,2483
146,,458.7600098,,,,60,2483
147,,735.8939819,,,,60,2483
148,,256.5069885,,,,60,3634
149,,574.0250244,,,,40,3634
150,,570.867981,,,,40,3634
151,,598.8469849,,,,60,3634
152,,1127.569946,,,,60,2483
153,,484.8770142,,,,60,2495
154,,1121.319946,,,,60,3640
155,,2011.170044,,,,60,2475
156,,673.6560059,,,,60,1181
157,,552.0770264,,,,40,704
158,,682.9550171,,,,60,1181
159,,1778.930054,,,,60,704
160,,970.8989868,,,,40,3277
161,,281.6499939,,,,60,3277
162,,1840.439941,,,,40,1188
163,,1603.660034,,,,60,3277
164,,2004.72998,,,,40,3262
165,,495.6130066,,,,40,3262
166,,716.7340088,,,,60,1181
167,,467.7869873,,,,60,1181
168,,412.2279968,,,,60,1181
169,,1244.949951,,,,60,4
170,,1600.189941,,,,60,2475
171,,1355.599976,,,,60,676
172,,1558.140015,,,,60,676
173,,589.3850098,,,,60,2468
174,,1862.219971,,,,60,2147
175,,609.223999,,,,60,2147
176,,1635.189941,,,,40,2147
177,,1275.77002,,,,60,3
178,,548.6149902,,,,60,1174
179,,442.875,,,,60,1174
180,,640.8560181,,,,100,1174
181,,900.8049927,,,,60,3626
182,,1042.209961,,,,100,687
183,,2078.669922,,,,100,3626
184,,750.0250244,,,,100,687
185,,1391.23999,,,,40,2142
186,,402.8250122,,,,80,2142
187,,1884.380005,,,,60,2142
188,,491.1900024,,,,60,677
189,,1336.160034,,,,60,1488
190,,2104.52002,,,,60,1489
191,,353.3890076,,,,80,5144
192,,2057.52002,,,,100,4259
193,,3011.389893,,,,60,1176
194,,2977.080078,,,,100,3271
195,,1141.650024,,,,80,3278
196,,831.039978,,,,60,3278
197,,1277.560059,,,,80,3278
198,,1549.72998,,,,80,2503
199,,680.065979,,,,80,1521
200,,1294.359985,,,,80,2504
201,,2252.97998,,,,60,3657
202,,2304.51001,,,,60,4293
203,,1588.5,,,,60,1207
204,,595.1450195,,,,60,3662
205,,1353.880005,,,,80,4302
206,,4157.77002,,,,100,57
207,,8529.099609,,,,60,1981
208,,2711.47998,,,,80,662
209,,3016.459961,,,,40,2773
210,,7639.350098,,,,60,4800
211,,4203.240234,,,,60,308
212,,3788.649902,,,,60,3236
213,,1800.27002,,,,100,687
214,,1638.619995,,,,80,3619
215,,7426.22998,,,,60,3269
216,,5727.200195,,,,40,712
217,,1880.040039,,,,60,336
218,,2760,,,,60,3816
219,,1041.189941,,,,80,4620
220,,5093.660156,,,,60,1712
221,,2864.360107,,,,100,4625
222,,5646.75,,,,60,4626
223,,1099.280029,,,,100,2320
224,,969.5679932,,,,60,50
225,,9244.639648,,,,80,3663
226,,2229.060059,,,,80,715
227,,1409.530029,,,,80,5144
228,,1733.949951,,,,60,677
229,,1055.359985,,,,100,715
230,,609.5819702,,,,60,4450
231,,515.7379761,,,,80,2468
232,,2136.300049,,,,80,2468
233,,982.4180298,,,,80,2493
234,,2473.699951,,,,80,3291
235,,1519.150024,,,,80,1541
236,,621.0209961,,,,80,732
237,,956.5670166,,,,80,3304
238,,1287.719971,,,,80,3304
239,,2819.51001,,,,80,4454
240,,1393.410034,,,,80,2190
241,,855.1870117,,,,80,2503
242,,4252.720215,,,,80,4284
243,,2773.939941,,,,80,1814
244,,3088.929932,,,,80,3923
245,,2397.939941,,,,80,676
